episode,episode_reward,best_reward,cpu_level,agent_stock,cpu_stock
152,-16.31107,-14.617985,5,0,1
153,-14.897614,-14.617985,5,0,1
154,-19.28481,-14.617985,5,0,2
155,-29.74913,-14.617985,5,0,3
156,-33.438248,-14.617985,5,0,3
157,-26.548895,-14.617985,5,0,3
158,-33.035667,-14.617985,5,0,3
159,-26.856123,-14.617985,5,0,3
160,-38.032135,-14.617985,5,0,4
161,-37.958305,-14.617985,5,0,3
162,-31.00296,-14.617985,5,0,3
163,-36.45363,-14.617985,5,0,3
164,-40.185722,-14.617985,5,0,4
165,-41.581497,-14.617985,5,0,4
166,-41.332504,-14.617985,5,0,4
167,-26.119936,-14.617985,5,0,2
168,-40.630283,-14.617985,5,0,4
169,-40.921116,-14.617985,5,0,4
170,-42.041023,-14.617985,5,0,4
171,-40.76823,-14.617985,5,0,4
172,-41.35437,-14.617985,5,0,4
173,-36.89758,-14.617985,5,0,3
174,-32.772854,-14.617985,5,0,3
175,-40.653236,-14.617985,5,0,4
176,-40.845806,-14.617985,5,0,4
177,-35.989857,-14.617985,5,0,3
178,-38.603485,-14.617985,5,0,4
179,-39.80126,-14.617985,5,0,4
180,-42.803192,-14.617985,5,0,4
181,-40.325287,-14.617985,5,0,4
182,-35.652447,-14.617985,5,0,4
183,-40.87046,-14.617985,5,0,4
184,-38.101364,-14.617985,5,0,4
185,-36.20536,-14.617985,5,0,3
186,-25.801086,-14.617985,5,0,3
187,-35.27823,-14.617985,5,0,3
188,-42.192535,-14.617985,5,0,4
189,-38.84479,-14.617985,5,0,4
190,-39.142826,-14.617985,5,0,4
191,-32.60599,-14.617985,5,0,3
192,-38.942795,-14.617985,5,0,4
193,-37.72852,-14.617985,5,0,3
194,-36.1333,-14.617985,5,0,4
195,-18.219006,-14.617985,5,0,1
196,-10.814387,-14.617985,5,0,1
197,-22.693624,-10.814387,5,0,3
198,-25.243229,-10.814387,5,0,2
199,-27.407017,-10.814387,5,0,3
200,-28.71661,-10.814387,5,0,3
